Time,BPM,Label
12:33:29,77,1
12:33:30,78,1
12:33:31,83,1
12:33:32,76,1
12:33:33,81,1
12:33:34,83,1
12:33:35,80,1
12:33:36,81,1
12:33:37,80,1
12:33:38,82,1
12:33:39,81,1
12:33:40,79,1
12:33:41,77,1
12:33:42,76,1
12:33:43,79,1
12:33:44,78,1
12:33:45,81,1
12:33:46,79,1
12:33:47,80,1
12:33:48,81,1
12:33:49,82,1
12:33:50,81,1
12:33:51,78,1
12:33:52,79,1
12:33:53,79,1
12:33:54,79,1
12:33:55,77,1
12:33:56,77,1
12:33:57,76,1
12:33:58,79,1
12:33:59,82,1
12:34:00,79,1
12:34:01,82,1
12:34:02,77,1
12:34:03,78,1
12:34:04,78,1
12:34:05,76,1
12:34:06,77,1
12:34:07,80,1
12:34:08,81,1
12:34:09,82,1
12:34:10,80,1
12:34:11,76,1
12:34:12,80,1
12:34:13,77,1
12:34:14,81,1
12:34:15,80,1
12:34:16,80,1
12:34:17,77,1
12:34:18,83,1
12:34:19,77,1
12:34:20,78,1
12:34:21,77,1
12:34:22,76,1
12:34:23,76,1
12:34:24,76,1
12:34:25,77,1
12:34:26,82,1
12:34:27,78,1
12:34:28,79,1
12:34:29,79,1
12:34:30,76,1
12:34:31,78,1
12:34:32,82,1
12:34:33,82,1
12:34:34,76,1
12:34:35,83,1
12:34:36,77,1
12:34:37,81,1
12:34:38,78,1
12:34:39,78,1
12:34:40,76,1
12:34:41,82,1
12:34:42,80,1
12:34:43,77,1
12:34:44,82,1
12:34:45,77,1
12:34:46,80,1
12:34:47,81,1
12:34:48,81,1
12:34:49,81,1
12:34:50,81,1
12:34:51,77,1
12:34:52,77,1
12:34:53,79,1
12:34:54,78,1
12:34:55,82,1
12:34:56,81,1
12:34:57,79,1
12:34:58,78,1
12:34:59,82,1
12:35:00,79,1
12:35:01,78,1
12:35:02,78,1
12:35:03,79,1
12:35:04,77,1
12:35:05,78,1
12:35:06,80,1
12:35:07,82,1
12:35:08,79,1
12:35:09,78,1
12:35:10,82,1
12:35:11,79,1
12:35:12,81,1
12:35:13,83,1
12:35:14,76,1
12:35:15,81,1
12:35:16,82,1
12:35:17,79,1
12:35:18,75,1
12:35:19,80,1
12:35:20,78,1
12:35:21,82,1
12:35:22,77,1
12:35:23,78,1
12:35:24,80,1
12:35:25,78,1
12:35:26,81,1
12:35:27,80,1
12:35:28,79,1
12:35:29,79,1
12:35:30,80,1
12:35:31,77,1
12:35:32,82,1
12:35:33,80,1
12:35:34,76,1
12:35:35,76,1
12:35:36,78,1
12:35:37,76,1
12:35:38,78,1
12:35:39,81,1
12:35:40,76,1
12:35:41,80,1
12:35:42,82,1
12:35:43,81,1
12:35:44,80,1
12:35:45,79,1
12:35:46,79,1
12:35:47,81,1
12:35:48,81,1
12:35:49,80,1
12:35:50,80,1
12:35:51,80,1
12:35:52,79,1
12:35:53,83,1
12:35:54,79,1
12:35:55,80,1
12:35:56,79,1
12:35:57,81,1
12:35:58,78,1
12:35:59,79,1
12:36:00,80,1
12:36:01,78,1
12:36:02,75,1
12:36:03,79,1
12:36:04,82,1
12:36:05,77,1
12:36:06,79,1
12:36:07,80,1
12:36:08,77,1
12:36:09,80,1
12:36:10,80,1
12:36:11,79,1
12:36:12,76,1
12:36:13,76,1
12:36:14,77,1
12:36:15,80,1
12:36:16,78,1
12:36:17,82,1
12:36:18,78,1
12:36:19,82,1
12:36:20,83,1
12:36:21,82,1
12:36:22,78,1
12:36:23,80,1
12:36:24,82,1
12:36:25,77,1
12:36:26,78,1
12:36:27,80,1
12:36:28,80,1
12:36:29,76,1
12:36:30,77,1
12:36:31,81,1
12:36:32,77,1
12:36:33,80,1
12:36:34,79,1
12:36:35,82,1
12:36:36,75,1
12:36:37,79,1
12:36:38,79,1
12:36:39,81,1
12:36:40,80,1
12:36:41,77,1
12:36:42,76,1
12:36:43,77,1
12:36:44,83,1
12:36:45,79,1
12:36:46,81,1
12:36:47,75,1
12:36:48,79,1
12:36:49,77,1
12:36:50,80,1
12:36:51,76,1
12:36:52,76,1
12:36:53,80,1
12:36:54,82,1
12:36:55,76,1
12:36:56,81,1
12:36:57,75,1
12:36:58,77,1
12:36:59,79,1
12:37:00,77,1
12:37:01,82,1
12:37:02,82,1
12:37:03,77,1
12:37:04,81,1
12:37:05,80,1
12:37:06,78,1
12:37:07,77,1
12:37:08,83,1
12:37:09,78,1
12:37:10,80,1
12:37:11,81,1
12:37:12,78,1
12:37:13,82,1
12:37:14,79,1
12:37:15,77,1
12:37:16,77,1
12:37:17,80,1
12:37:18,79,1
12:37:19,82,1
12:37:20,75,1
12:37:21,77,1
12:37:22,79,1
12:37:23,81,1
12:37:24,80,1
12:37:25,80,1
12:37:26,78,1
12:37:27,78,1
12:37:28,79,1
12:37:29,80,1
12:37:30,76,1
12:37:31,77,1
12:37:32,78,1
12:37:33,78,1
12:37:34,81,1
12:37:35,82,1
12:37:36,78,1
12:37:37,83,1
12:37:38,80,1
12:37:39,79,1
12:37:40,79,1
12:37:41,78,1
12:37:42,81,1
12:37:43,76,1
12:37:44,79,1
12:37:45,82,1
12:37:46,80,1
12:37:47,80,1
12:37:48,79,1
12:37:49,78,1
12:37:50,82,1
12:37:51,82,1
12:37:52,80,1
12:37:53,80,1
12:37:54,78,1
12:37:55,77,1
12:37:56,80,1
12:37:57,78,1
12:37:58,76,1
12:37:59,80,1
12:38:00,77,1
12:38:01,77,1
12:38:02,81,1
12:38:03,83,1
12:38:04,78,1
12:38:05,82,1
12:38:06,77,1
12:38:07,81,1
12:38:08,79,1
12:38:09,78,1
12:38:10,81,1
12:38:11,77,1
12:38:12,81,1
12:38:13,77,1
12:38:14,80,1
12:38:15,82,1
12:38:16,78,1
12:38:17,79,1
12:38:18,82,1
12:38:19,76,1
12:38:20,79,1
12:38:21,79,1
12:38:22,75,1
12:38:23,78,1
12:38:24,81,1
12:38:25,81,1
12:38:26,78,1
12:38:27,81,1
12:38:28,76,1
12:38:29,75,1
12:38:30,81,1
12:38:31,80,1
12:38:32,82,1
12:38:33,78,1
12:38:34,77,1
12:38:35,78,1
12:38:36,77,1
12:38:37,81,1
12:38:38,77,1
12:38:39,78,1
12:38:40,79,1
12:38:41,83,1
12:38:42,78,1
12:38:43,75,1
12:38:44,82,1
12:38:45,82,1
12:38:46,81,1
12:38:47,82,1
12:38:48,76,1
12:38:49,78,1
12:38:50,78,1
12:38:51,79,1
12:38:52,82,1
12:38:53,78,1
12:38:54,76,1
12:38:55,78,1
12:38:56,83,1
12:38:57,75,1
12:38:58,78,1
12:38:59,78,1
12:39:00,76,1
12:39:01,77,1
12:39:02,77,1
12:39:03,77,1
12:39:04,83,1
12:39:05,77,1
12:39:06,80,1
12:39:07,81,1
12:39:08,80,1
12:39:09,77,1
12:39:10,82,1
12:39:11,83,1
12:39:12,76,1
12:39:13,79,1
12:39:14,81,1
12:39:15,76,1
12:39:16,78,1
12:39:17,78,1
12:39:18,75,1
12:39:19,78,1
12:39:20,76,1
12:39:21,80,1
12:39:22,77,1
12:39:23,80,1
12:39:24,78,1
12:39:25,81,1
12:39:26,79,1
12:39:27,76,1
12:39:28,75,1
12:39:29,83,1
12:39:30,77,1
12:39:31,77,1
12:39:32,81,1
12:39:33,77,1
12:39:34,76,1
12:39:35,78,1
12:39:36,81,1
12:39:37,76,1
12:39:38,81,1
12:39:39,81,1
12:39:40,76,1
12:39:41,81,1
12:39:42,78,1
12:39:43,75,1
12:39:44,79,1
12:39:45,81,1
12:39:46,77,1
12:39:47,77,1
12:39:48,79,1
12:39:49,77,1
12:39:50,78,1
12:39:51,76,1
12:39:52,83,1
12:39:53,79,1
12:39:54,82,1
12:39:55,76,1
12:39:56,81,1
12:39:57,80,1
12:39:58,81,1
12:39:59,82,1
12:40:00,80,1
12:40:01,80,1
12:40:02,77,1
12:40:03,76,1
12:40:04,82,1
12:40:05,83,1
12:40:06,76,1
12:40:07,82,1
12:40:08,79,1
